Row,Var1_  1,Var1_  2,Var1_  3,Var1_  4,Var1_  5,Var1_  6,Var1_  7,Var1_  8,Var1_  9,Var1_ 10,Var1_ 11,Var1_ 12,Var1_ 13,Var1_ 14,Var1_ 15,Var1_ 16,Var1_ 17,Var1_ 18,Var1_ 19,Var1_ 20,Var1_ 21,Var1_ 22,Var1_ 23,Var1_ 24,Var1_ 25,Var1_ 26,Var1_ 27,Var1_ 28,Var1_ 29,Var1_ 30,Var1_ 31,Var1_ 32,Var1_ 33,Var1_ 34,Var1_ 35,Var1_ 36,Var1_ 37,Var1_ 38,Var1_ 39,Var1_ 40,Var1_ 41,Var1_ 42,Var1_ 43,Var1_ 44,Var1_ 45,Var1_ 46,Var1_ 47,Var1_ 48,Var1_ 49,Var1_ 50,Var1_ 51,Var1_ 52,Var1_ 53,Var1_ 54,Var1_ 55,Var1_ 56,Var1_ 57,Var1_ 58,Var1_ 59,Var1_ 60,Var1_ 61,Var1_ 62,Var1_ 63,Var1_ 64,Var1_ 65,Var1_ 66,Var1_ 67,Var1_ 68,Var1_ 69,Var1_ 70,Var1_ 71,Var1_ 72,Var1_ 73,Var1_ 74,Var1_ 75,Var1_ 76,Var1_ 77,Var1_ 78,Var1_ 79,Var1_ 80,Var1_ 81,Var1_ 82,Var1_ 83,Var1_ 84,Var1_ 85,Var1_ 86,Var1_ 87,Var1_ 88,Var1_ 89,Var1_ 90,Var1_ 91,Var1_ 92,Var1_ 93,Var1_ 94,Var1_ 95,Var1_ 96,Var1_ 97,Var1_ 98,Var1_ 99,Var1_100,Var1_101,Var1_102,Var1_103,Var1_104,Var1_105,Var1_106,Var1_107,Var1_108,Var1_109,Var1_110,Var1_111,Var1_112,Var1_113,Var1_114,Var1_115,Var1_116,Var1_117,Var1_118,Var1_119,Var1_120,Var1_121,Var1_122,Var1_123,Var1_124,Var1_125,Var1_126,Var1_127,Var1_128,Var1_129,Var1_130,Var1_131,Var1_132,Var1_133,Var1_134,Var1_135,Var1_136,Var1_137,Var1_138,Var1_139,Var1_140,Var1_141,Var1_142,Var1_143,Var1_144,Var1_145,Var1_146,Var1_147,Var1_148,Var1_149,Var1_150,Var1_151,Var1_152,Var1_153,Var1_154,Var1_155,Var1_156,Var1_157,Var1_158,Var1_159,Var1_160,Var1_161,Var1_162,Var1_163,Var1_164,Var1_165,Var1_166,Var1_167,Var1_168,Var1_169,Var1_170,Var1_171,Var1_172,Var1_173,Var1_174,Var1_175,Var1_176,Var1_177,Var1_178,Var1_179,Var1_180,Var1_181,Var1_182,Var1_183,Var1_184,Var1_185,Var1_186,Var1_187,Var1_188,Var1_189,Var1_190,Var1_191,Var1_192,Var1_193,Var1_194,Var1_195,Var1_196,Var1_197,Var1_198,Var1_199,Var1_200
BoardsBeforeCutBill,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035
BoardsAfterCutBill,209919,225599,217735,217846,209982,218040,210176,210287,202423,225865,218001,218112,210248,218306,210442,210553,202689,218369,210505,210616,202752,210810,202946,203057,195193,226146,218282,218393,210529,218587,210723,210834,202970,218650,210786,210897,203033,211091,203227,203338,195474,218916,211052,211163,203299,211357,203493,203604,195740,211420,203556,203667,195803,203861,195997,196108,188244,226303,218439,218550,210686,218744,210880,210991,203127,218807,210943,211054,203190,211248,203384,203495,195631,219073,211209,211320,203456,211514,203650,203761,195897,211577,203713,203824,195960,204018,196154,196265,188401,219354,211490,211601,203737,211795,203931,204042,196178,211858,203994,204105,196241,204299,196435,196546,188682,212124,204260,204371,196507,204565,196701,196812,188948,204628,196764,196875,189011,197069,189205,189316,181452,226360,218496,218607,210743,218801,210937,211048,203184,218864,211000,211111,203247,211305,203441,203552,195688,219130,211266,211377,203513,211571,203707,203818,195954,211634,203770,203881,196017,204075,196211,196322,188458,219411,211547,211658,203794,211852,203988,204099,196235,211915,204051,204162,196298,204356,196492,196603,188739,212181,204317,204428,196564,204622,196758,196869,189005,204685,196821,196932,189068,197126,189262,189373,181509,219568,211704,211815,203951,212009,204145,204256,196392,212072,204208,204319,196455,204513,196649,196760
BoardsInCutBill,127253,111573,119437,119326,127190,119132,126996,126885,134749,111307,119171,119060,126924,118866,126730,126619,134483,118803,126667,126556,134420,126362,134226,134115,141979,111026,118890,118779,126643,118585,126449,126338,134202,118522,126386,126275,134139,126081,133945,133834,141698,118256,126120,126009,133873,125815,133679,133568,141432,125752,133616,133505,141369,133311,141175,141064,148928,110869,118733,118622,126486,118428,126292,126181,134045,118365,126229,126118,133982,125924,133788,133677,141541,118099,125963,125852,133716,125658,133522,133411,141275,125595,133459,133348,141212,133154,141018,140907,148771,117818,125682,125571,133435,125377,133241,133130,140994,125314,133178,133067,140931,132873,140737,140626,148490,125048,132912,132801,140665,132607,140471,140360,148224,132544,140408,140297,148161,140103,147967,147856,155720,110812,118676,118565,126429,118371,126235,126124,133988,118308,126172,126061,133925,125867,133731,133620,141484,118042,125906,125795,133659,125601,133465,133354,141218,125538,133402,133291,141155,133097,140961,140850,148714,117761,125625,125514,133378,125320,133184,133073,140937,125257,133121,133010,140874,132816,140680,140569,148433,124991,132855,132744,140608,132550,140414,140303,148167,132487,140351,140240,148104,140046,147910,147799,155663,117604,125468,125357,133221,125163,133027,132916,140780,125100,132964,132853,140717,132659,140523,140412
MandatoryCuts,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774
CutsMadebyCutBill,41333,57013,49149,49260,41396,49454,41590,41701,33837,57279,49415,49526,41662,49720,41856,41967,34103,49783,41919,42030,34166,42224,34360,34471,26607,57560,49696,49807,41943,50001,42137,42248,34384,50064,42200,42311,34447,42505,34641,34752,26888,50330,42466,42577,34713,42771,34907,35018,27154,42834,34970,35081,27217,35275,27411,27522,19658,57717,49853,49964,42100,50158,42294,42405,34541,50221,42357,42468,34604,42662,34798,34909,27045,50487,42623,42734,34870,42928,35064,35175,27311,42991,35127,35238,27374,35432,27568,27679,19815,50768,42904,43015,35151,43209,35345,35456,27592,43272,35408,35519,27655,35713,27849,27960,20096,43538,35674,35785,27921,35979,28115,28226,20362,36042,28178,28289,20425,28483,20619,20730,12866,57774,49910,50021,42157,50215,42351,42462,34598,50278,42414,42525,34661,42719,34855,34966,27102,50544,42680,42791,34927,42985,35121,35232,27368,43048,35184,35295,27431,35489,27625,27736,19872,50825,42961,43072,35208,43266,35402,35513,27649,43329,35465,35576,27712,35770,27906,28017,20153,43595,35731,35842,27978,36036,28172,28283,20419,36099,28235,28346,20482,28540,20676,20787,12923,50982,43118,43229,35365,43423,35559,35670,27806,43486,35622,35733,27869,35927,28063,28174
CutsPerBoard,2.90107,3.05787,2.97923,2.98034,2.9017,2.98228,2.90364,2.90475,2.82611,3.06053,2.98189,2.983,2.90436,2.98494,2.9063,2.90741,2.82877,2.98557,2.90693,2.90804,2.8294,2.90998,2.83134,2.83245,2.75381,3.06334,2.9847,2.98581,2.90717,2.98775,2.90911,2.91022,2.83158,2.98838,2.90974,2.91085,2.83221,2.91279,2.83415,2.83526,2.75662,2.99104,2.9124,2.91351,2.83487,2.91545,2.83681,2.83792,2.75928,2.91608,2.83744,2.83855,2.75991,2.84049,2.76185,2.76296,2.68432,3.06491,2.98627,2.98738,2.90874,2.98932,2.91068,2.91179,2.83315,2.98995,2.91131,2.91242,2.83378,2.91436,2.83572,2.83683,2.75819,2.99261,2.91397,2.91508,2.83644,2.91702,2.83838,2.83949,2.76085,2.91765,2.83901,2.84012,2.76148,2.84206,2.76342,2.76453,2.68589,2.99542,2.91678,2.91789,2.83925,2.91983,2.84119,2.8423,2.76366,2.92046,2.84182,2.84293,2.76429,2.84487,2.76623,2.76734,2.6887,2.92312,2.84448,2.84559,2.76695,2.84753,2.76889,2.77,2.69136,2.84816,2.76952,2.77063,2.69199,2.77257,2.69393,2.69504,2.6164,3.06548,2.98684,2.98795,2.90931,2.98989,2.91125,2.91236,2.83372,2.99052,2.91188,2.91299,2.83435,2.91493,2.83629,2.8374,2.75876,2.99318,2.91454,2.91565,2.83701,2.91759,2.83895,2.84006,2.76142,2.91822,2.83958,2.84069,2.76205,2.84263,2.76399,2.7651,2.68646,2.99599,2.91735,2.91846,2.83982,2.9204,2.84176,2.84287,2.76423,2.92103,2.84239,2.8435,2.76486,2.84544,2.7668,2.76791,2.68927,2.92369,2.84505,2.84616,2.76752,2.8481,2.76946,2.77057,2.69193,2.84873,2.77009,2.7712,2.69256,2.77314,2.6945,2.69561,2.61697,2.99756,2.91892,2.92003,2.84139,2.92197,2.84333,2.84444,2.7658,2.9226,2.84396,2.84507,2.76643,2.84701,2.76837,2.76948
Yield,0.90587675391336,0.903680202189222,0.904781840120256,0.904766290551291,0.905867928482326,0.904739113827153,0.905840751758188,0.905825202189222,0.906926840120257,0.903642939258188,0.904744577189222,0.904729027620256,0.905830665551291,0.904701850896119,0.905803488827153,0.905787939258187,0.906889577189222,0.904693025465084,0.905794663396119,0.905779113827153,0.906880751758187,0.905751937103015,0.906853575034049,0.906838025465084,0.907939663396119,0.903603575034049,0.904705212965084,0.904689663396118,0.905791301327153,0.904662486671981,0.905764124603015,0.905748575034049,0.906850212965084,0.904653661240946,0.905755299171981,0.905739749603015,0.90684138753405,0.905712572878877,0.906814210809912,0.906798661240946,0.907900299171981,0.904616398309912,0.905718036240946,0.90570248667198,0.906804124603015,0.905675309947843,0.906776947878877,0.906761398309911,0.907863036240946,0.905666484516808,0.906768122447843,0.906752572878877,0.907854210809912,0.906725396154739,0.907827034085774,0.907811484516808,0.908913122447843,0.903581581499567,0.904683219430602,0.904667669861636,0.905769307792671,0.904640493137498,0.905742131068532,0.905726581499567,0.906828219430602,0.904631667706464,0.905733305637498,0.905717756068532,0.906819393999567,0.905690579344395,0.906792217275429,0.906776667706463,0.907878305637498,0.904594404775429,0.905696042706464,0.905680493137498,0.906782131068532,0.90565331641336,0.906754954344394,0.906739404775429,0.907841042706463,0.905644490982326,0.90674612891336,0.906730579344394,0.907832217275429,0.906703402620256,0.907805040551291,0.907789490982326,0.90889112891336,0.904555040551291,0.905656678482326,0.90564112891336,0.906742766844394,0.905613952189222,0.906715590120257,0.906700040551291,0.907801678482325,0.905605126758188,0.906706764689222,0.906691215120256,0.907792853051291,0.906664038396119,0.907765676327153,0.907750126758188,0.908851764689222,0.905567863827153,0.906669501758188,0.906653952189222,0.907755590120257,0.906626775465084,0.907728413396119,0.907712863827153,0.908814501758187,0.90661795003405,0.907719587965084,0.907704038396119,0.908805676327153,0.907676861671981,0.908778499603015,0.90876295003405,0.909864587965084,0.903573596585774,0.904675234516808,0.904659684947842,0.905761322878877,0.904632508223705,0.905734146154739,0.905718596585773,0.906820234516808,0.90462368279267,0.905725320723705,0.905709771154739,0.906811409085774,0.905682594430601,0.906784232361635,0.90676868279267,0.907870320723705,0.904586419861636,0.90568805779267,0.905672508223704,0.906774146154739,0.905645331499567,0.906746969430601,0.906731419861635,0.90783305779267,0.905636506068532,0.906738143999566,0.906722594430601,0.907824232361636,0.906695417706463,0.907797055637498,0.907781506068532,0.908883143999567,0.904547055637498,0.905648693568532,0.905633143999567,0.906734781930601,0.905605967275429,0.906707605206463,0.906692055637498,0.907793693568532,0.905597141844394,0.906698779775429,0.906683230206463,0.907784868137498,0.906656053482325,0.90775769141336,0.907742141844394,0.908843779775429,0.90555987891336,0.906661516844394,0.906645967275429,0.907747605206463,0.906618790551291,0.907720428482325,0.90770487891336,0.908806516844394,0.906609965120256,0.907711603051291,0.907696053482325,0.90879769141336,0.907668876758187,0.908770514689222,0.908754965120256,0.909856603051291,0.904525062103015,0.90562670003405,0.905611150465084,0.906712788396118,0.905583973740946,0.90668561167198,0.906670062103015,0.90777170003405,0.905575148309912,0.906676786240946,0.906661236671981,0.907762874603015,0.906634059947843,0.907735697878877,0.907720148309911
MeanNestingRate,0.0363401575663316,0.0295265438453142,0.0291664996081904,0.0292005460173517,0.0329627998308019,0.0291927100769598,0.0314112460249461,0.031233153526409,0.0363534373057182,0.0271834069117071,0.0285098513234157,0.0291688166575229,0.0334660316261211,0.0293400226794971,0.0314152917520499,0.0317641105154471,0.0356056476366398,0.0317270870580983,0.0306917019174639,0.0304308653145645,0.0338959606985633,0.0314848621487034,0.0333035511086627,0.0332350182213828,0.0376219386979038,0.0258652078538212,0.0278633016663332,0.0391272598843562,0.0520709535585025,0.0281843509488485,0.0310042532810082,0.0322248578928393,0.0386255062681832,0.0324440755726653,0.0299145348325707,0.0324060677151579,0.0381806299935201,0.0303529644310249,0.0323226660440571,0.0338506256044617,0.039341764280162,0.0278561346035734,0.0290827053118835,0.0324162030508724,0.0371054877529991,0.0305528741590314,0.032180531838787,0.0335378764015354,0.0383115794626104,0.0353891478820493,0.0332621874602751,0.0343990417111211,0.0380584781458215,0.0341232360571505,0.0359037801299717,0.0370823542905076,0.0410681160011839,0.0269283868249512,0.0292512842263465,0.120070077033823,0.0871539222642605,0.0284213307918001,0.0322635893948272,0.0317792895847199,0.0388107172418683,0.03238327847217,0.0303129487550945,0.0312250033073465,0.035961524276841,0.0310353700720597,0.0333628289237078,0.0335586009497547,0.0391342490887738,0.0275739217823084,0.0283737815787236,0.030415183402265,0.0354041992164853,0.0306452358176744,0.0325178321720392,0.0332691496557814,0.0379399237212223,0.034662660068807,0.032140346030934,0.0326085459949188,0.036740516156213,0.0339540401445868,0.0355989563027573,0.0361579640241475,0.0414130850068327,0.0266114564968887,0.0285708988786453,0.0357007466510799,0.0425678331744196,0.0295012627040057,0.0325916619971104,0.033750547478881,0.0391313415693447,0.0344670544293367,0.0316865899628957,0.0343418903569256,0.0386232701109777,0.0332256761400112,0.0355558336542319,0.0368325184755332,0.0422312257309295,0.0305543623133741,0.0310878239791133,0.0343433816881641,0.0380321646468473,0.0357761342901371,0.0359932438367574,0.038328712433168,0.0414202445952723,0.0443837596109433,0.038614431887628,0.0404508719764387,0.0428852961930377,0.0442019366124598,0.043143758488371,0.0482114656023924,0.0500302098559838,0.0278467047922757,0.0306582815443319,0.0320750527423366,0.0434686201619616,0.0288228318271352,0.0319987870241406,0.0325244657002627,0.0395948935062844,0.0354463694173317,0.0317769067721065,0.0320506192152038,0.0357635435791079,0.0337553112558803,0.0351305859628874,0.036290326601315,0.0420287176628266,0.0285767441822759,0.0290853989509601,0.0300537095914966,0.0340524293877822,0.0311252852617521,0.0330120423815886,0.0333830934094824,0.0381187935491212,0.0360514046368811,0.0322603405589873,0.032665843128985,0.0360288163035037,0.0353075970402022,0.0363835505698839,0.037370179879772,0.0427024466161533,0.0265121005053033,0.0288378622187374,0.0388087518128493,0.049933592049897,0.0296291532378579,0.0325284723547227,0.03498947026237,0.042572256690582,0.035529529451553,0.0321191992269723,0.0342028106170686,0.039162578923799,0.0336031253032879,0.0356394015946417,0.0373319085400802,0.044984734939106,0.0301124070521752,0.0306180208362635,0.0335284105869393,0.0383465468350515,0.0334911840010291,0.0351543463599141,0.0368564328781113,0.0425300183559619,0.0429966231671795,0.0365653450355688,0.0387159243664014,0.0407853026084729,0.0403845923289952,0.041117834447436,0.0435031767546744,0.0488614322169645,0.0276070509398954,0.0313674317698057,0.186729749837349,0.151741476238002,0.0302396859790297,0.0346094259340356,0.0339476718971268,0.042224430898886,0.0370421679017858,0.032596798502958,0.033496545565151,0.0375197111290729,0.0343763447519777,0.0362907775888572,0.0378717893191869
MaxNestingRate,0.162414719529478,0.14130828317287,0.133543006115193,0.115982925851951,0.144822501094534,0.124262124388398,0.147198558353891,0.133749365593967,0.164120010450378,0.123974077428613,0.122896193260834,0.128931747030099,0.151630317665645,0.12255264778231,0.145229744600042,0.130542733805952,0.154571002035419,0.142315314657817,0.139301638799019,0.134661905506677,0.131695949727654,0.147335139370761,0.150899382461657,0.184262123074807,0.15439671461324,0.128312114317442,0.121249520273211,0.144507715526545,0.195424479526567,0.128864847681436,0.147859106493493,0.131564241492873,0.162792846044461,0.13989364943073,0.139813404093983,0.126078298226747,0.139758602474975,0.132197213430361,0.181228603878339,0.134764168593193,0.165067374425894,0.128357056779579,0.121909025495928,0.135273946413658,0.143369744462536,0.123521773507155,0.143498816090359,0.143259430942402,0.153238140038647,0.146795651030988,0.149433166890336,0.158915540944541,0.150727261025188,0.136312473800572,0.203091599800783,0.165517796362405,0.148652084133428,0.158393613848151,0.130799545309,0.361503065625914,0.257396600232488,0.139867673205494,0.139388538886052,0.138529447785206,0.15437765830586,0.125158414861135,0.131054413972697,0.132359656489613,0.147968816291947,0.142066217731391,0.177783276074363,0.139832315266821,0.148349796776678,0.127238127356163,0.134491934591822,0.135283987000108,0.139539110301786,0.141161915042827,0.135935326860827,0.144984708807351,0.15277837195565,0.127894573411368,0.141261862972544,0.153685086833659,0.147876461059671,0.157905679235993,0.178604159772563,0.151176375973303,0.158711654657621,0.115339668161629,0.138380110121039,0.147846011893663,0.161420437698769,0.126942076403608,0.138532427553137,0.13513285579114,0.154059107365327,0.153513709100432,0.144678191921121,0.161535214432829,0.162374993623589,0.126149007455362,0.152403208960989,0.149441781087972,0.192354245395673,0.133193611335055,0.137470643312085,0.181128497691293,0.155187768611514,0.163321045944833,0.147470250816221,0.163329370199909,0.173581453032838,0.178427803915995,0.176187220897206,0.202819999947703,0.159930557694564,0.211962613742894,0.186041076813483,0.189272366756768,0.185166291118245,0.130731414384249,0.16917279650865,0.141593958642657,0.209793959507098,0.123738747095473,0.170533567396079,0.148992095986727,0.175239380483268,0.140679609109182,0.136291735842814,0.137247591579081,0.139598962937243,0.145764332992771,0.132930525692702,0.167109223814566,0.176877528893488,0.120684237469027,0.132584543927812,0.13845110400977,0.154945798246683,0.144084858640509,0.146948196033834,0.136263249477169,0.145819453093527,0.137817398356431,0.138862537784614,0.132305019551498,0.140878939417378,0.153845847353371,0.168959756711626,0.139576956976484,0.186340925951161,0.109229115200711,0.130610517894018,0.144634456380918,0.188217195411298,0.159621558779253,0.136710286756943,0.154440366427584,0.15535215996989,0.158606134811425,0.13126467773497,0.16140704216397,0.157765235162438,0.133363798065336,0.160792905158225,0.152817197162282,0.159357251347894,0.139952745398399,0.131707475470863,0.136572681233761,0.142349153362624,0.158549625079798,0.157671453253443,0.168497977110486,0.160396987259404,0.182240774875976,0.144115029829713,0.162274625586182,0.168313350074876,0.168813675391884,0.177304521256895,0.167884382239778,0.194462151438058,0.133347713562997,0.131517292183451,0.464935991375305,0.361214846778758,0.131121390767649,0.14012033268261,0.135801768878191,0.156143783484951,0.145525523271891,0.136238310581154,0.130304379396762,0.153292627767286,0.138069713285631,0.1574831659378,0.146630624171536
TimesAbove60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
