Row,Var1_  1,Var1_  2,Var1_  3,Var1_  4,Var1_  5,Var1_  6,Var1_  7,Var1_  8,Var1_  9,Var1_ 10,Var1_ 11,Var1_ 12,Var1_ 13,Var1_ 14,Var1_ 15,Var1_ 16,Var1_ 17,Var1_ 18,Var1_ 19,Var1_ 20,Var1_ 21,Var1_ 22,Var1_ 23,Var1_ 24,Var1_ 25,Var1_ 26,Var1_ 27,Var1_ 28,Var1_ 29,Var1_ 30,Var1_ 31,Var1_ 32,Var1_ 33,Var1_ 34,Var1_ 35,Var1_ 36,Var1_ 37,Var1_ 38,Var1_ 39,Var1_ 40,Var1_ 41,Var1_ 42,Var1_ 43,Var1_ 44,Var1_ 45,Var1_ 46,Var1_ 47,Var1_ 48,Var1_ 49,Var1_ 50,Var1_ 51,Var1_ 52,Var1_ 53,Var1_ 54,Var1_ 55,Var1_ 56,Var1_ 57,Var1_ 58,Var1_ 59,Var1_ 60,Var1_ 61,Var1_ 62,Var1_ 63,Var1_ 64,Var1_ 65,Var1_ 66,Var1_ 67,Var1_ 68,Var1_ 69,Var1_ 70,Var1_ 71,Var1_ 72,Var1_ 73,Var1_ 74,Var1_ 75,Var1_ 76,Var1_ 77,Var1_ 78,Var1_ 79,Var1_ 80,Var1_ 81,Var1_ 82,Var1_ 83,Var1_ 84,Var1_ 85,Var1_ 86,Var1_ 87,Var1_ 88,Var1_ 89,Var1_ 90,Var1_ 91,Var1_ 92,Var1_ 93,Var1_ 94,Var1_ 95,Var1_ 96,Var1_ 97,Var1_ 98,Var1_ 99,Var1_100,Var1_101,Var1_102,Var1_103,Var1_104,Var1_105,Var1_106,Var1_107,Var1_108,Var1_109,Var1_110,Var1_111,Var1_112,Var1_113,Var1_114,Var1_115,Var1_116,Var1_117,Var1_118,Var1_119,Var1_120,Var1_121,Var1_122,Var1_123,Var1_124,Var1_125,Var1_126,Var1_127,Var1_128,Var1_129,Var1_130,Var1_131,Var1_132,Var1_133,Var1_134,Var1_135,Var1_136,Var1_137,Var1_138,Var1_139,Var1_140,Var1_141,Var1_142,Var1_143,Var1_144,Var1_145,Var1_146,Var1_147,Var1_148,Var1_149,Var1_150,Var1_151,Var1_152,Var1_153,Var1_154,Var1_155,Var1_156,Var1_157,Var1_158,Var1_159,Var1_160,Var1_161,Var1_162,Var1_163,Var1_164,Var1_165,Var1_166,Var1_167,Var1_168,Var1_169,Var1_170,Var1_171,Var1_172,Var1_173,Var1_174,Var1_175,Var1_176,Var1_177,Var1_178,Var1_179,Var1_180,Var1_181,Var1_182,Var1_183,Var1_184,Var1_185,Var1_186,Var1_187,Var1_188,Var1_189,Var1_190,Var1_191,Var1_192,Var1_193,Var1_194,Var1_195,Var1_196,Var1_197
BoardsBeforeCutBill,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035,223035
BoardsAfterCutBill,189672,197730,189866,189977,182113,220172,212308,212419,204555,212613,204749,204860,196996,212676,204812,204923,197059,205117,197253,197364,189500,212942,205078,205189,197325,205383,197519,197630,189766,205446,197582,197693,189829,197887,190023,190134,182270,213223,205359,205470,197606,205664,197800,197911,190047,205727,197863,197974,190110,198168,190304,190415,182551,205993,198129,198240,190376,198434,190570,190681,182817,198497,190633,190744,182880,190938,183074,183185,175321,220229,212365,212476,204612,212670,204806,204917,197053,212733,204869,204980,197116,205174,197310,197421,189557,212999,205135,205246,197382,205440,197576,197687,189823,205503,197639,197750,189886,197944,190080,190191,182327,213280,205416,205527,197663,205721,197857,197968,190104,205784,197920,198031,190167,198225,190361,190472,182608,206050,198186,198297,190433,198491,190627,190738,182874,198554,190690,190801,182937,190995,183131,183242,175378,213437,205573,205684,197820,205878,198014,198125,190261,205941,198077,198188,190324,198382,190518,190629,182765,206207,198343,198454,190590,198648,190784,190895,183031,198711,190847,190958,183094,191152,183288,183399,175535,206488,198624,198735,190871,198929,191065,191176,183312,198992,191128,191239,183375,191433,183569,183680,175816,199258,191394,191505,183641,191699,183835,183946,176082,191762,183898,184009,176145,184203,176339,176450,168586
BoardsInCutBill,147500,139442,147306,147195,155059,117000,124864,124753,132617,124559,132423,132312,140176,124496,132360,132249,140113,132055,139919,139808,147672,124230,132094,131983,139847,131789,139653,139542,147406,131726,139590,139479,147343,139285,147149,147038,154902,123949,131813,131702,139566,131508,139372,139261,147125,131445,139309,139198,147062,139004,146868,146757,154621,131179,139043,138932,146796,138738,146602,146491,154355,138675,146539,146428,154292,146234,154098,153987,161851,116943,124807,124696,132560,124502,132366,132255,140119,124439,132303,132192,140056,131998,139862,139751,147615,124173,132037,131926,139790,131732,139596,139485,147349,131669,139533,139422,147286,139228,147092,146981,154845,123892,131756,131645,139509,131451,139315,139204,147068,131388,139252,139141,147005,138947,146811,146700,154564,131122,138986,138875,146739,138681,146545,146434,154298,138618,146482,146371,154235,146177,154041,153930,161794,123735,131599,131488,139352,131294,139158,139047,146911,131231,139095,138984,146848,138790,146654,146543,154407,130965,138829,138718,146582,138524,146388,146277,154141,138461,146325,146214,154078,146020,153884,153773,161637,130684,138548,138437,146301,138243,146107,145996,153860,138180,146044,145933,153797,145739,153603,153492,161356,137914,145778,145667,153531,145473,153337,153226,161090,145410,153274,153163,161027,152969,160833,160722,168586
MandatoryCuts,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774,248774
CutsMadebyCutBill,21086,29144,21280,21391,13527,51586,43722,43833,35969,44027,36163,36274,28410,44090,36226,36337,28473,36531,28667,28778,20914,44356,36492,36603,28739,36797,28933,29044,21180,36860,28996,29107,21243,29301,21437,21548,13684,44637,36773,36884,29020,37078,29214,29325,21461,37141,29277,29388,21524,29582,21718,21829,13965,37407,29543,29654,21790,29848,21984,22095,14231,29911,22047,22158,14294,22352,14488,14599,6735,51643,43779,43890,36026,44084,36220,36331,28467,44147,36283,36394,28530,36588,28724,28835,20971,44413,36549,36660,28796,36854,28990,29101,21237,36917,29053,29164,21300,29358,21494,21605,13741,44694,36830,36941,29077,37135,29271,29382,21518,37198,29334,29445,21581,29639,21775,21886,14022,37464,29600,29711,21847,29905,22041,22152,14288,29968,22104,22215,14351,22409,14545,14656,6792,44851,36987,37098,29234,37292,29428,29539,21675,37355,29491,29602,21738,29796,21932,22043,14179,37621,29757,29868,22004,30062,22198,22309,14445,30125,22261,22372,14508,22566,14702,14813,6949,37902,30038,30149,22285,30343,22479,22590,14726,30406,22542,22653,14789,22847,14983,15094,7230,30672,22808,22919,15055,23113,15249,15360,7496,23176,15312,15423,7559,15617,7753,7864,0
CutsPerBoard,2.6986,2.77918,2.70054,2.70165,2.62301,3.0036,2.92496,2.92607,2.84743,2.92801,2.84937,2.85048,2.77184,2.92864,2.85,2.85111,2.77247,2.85305,2.77441,2.77552,2.69688,2.9313,2.85266,2.85377,2.77513,2.85571,2.77707,2.77818,2.69954,2.85634,2.7777,2.77881,2.70017,2.78075,2.70211,2.70322,2.62458,2.93411,2.85547,2.85658,2.77794,2.85852,2.77988,2.78099,2.70235,2.85915,2.78051,2.78162,2.70298,2.78356,2.70492,2.70603,2.62739,2.86181,2.78317,2.78428,2.70564,2.78622,2.70758,2.70869,2.63005,2.78685,2.70821,2.70932,2.63068,2.71126,2.63262,2.63373,2.55509,3.00417,2.92553,2.92664,2.848,2.92858,2.84994,2.85105,2.77241,2.92921,2.85057,2.85168,2.77304,2.85362,2.77498,2.77609,2.69745,2.93187,2.85323,2.85434,2.7757,2.85628,2.77764,2.77875,2.70011,2.85691,2.77827,2.77938,2.70074,2.78132,2.70268,2.70379,2.62515,2.93468,2.85604,2.85715,2.77851,2.85909,2.78045,2.78156,2.70292,2.85972,2.78108,2.78219,2.70355,2.78413,2.70549,2.7066,2.62796,2.86238,2.78374,2.78485,2.70621,2.78679,2.70815,2.70926,2.63062,2.78742,2.70878,2.70989,2.63125,2.71183,2.63319,2.6343,2.55566,2.93625,2.85761,2.85872,2.78008,2.86066,2.78202,2.78313,2.70449,2.86129,2.78265,2.78376,2.70512,2.7857,2.70706,2.70817,2.62953,2.86395,2.78531,2.78642,2.70778,2.78836,2.70972,2.71083,2.63219,2.78899,2.71035,2.71146,2.63282,2.7134,2.63476,2.63587,2.55723,2.86676,2.78812,2.78923,2.71059,2.79117,2.71253,2.71364,2.635,2.7918,2.71316,2.71427,2.63563,2.71621,2.63757,2.63868,2.56004,2.79446,2.71582,2.71693,2.63829,2.71887,2.64023,2.64134,2.5627,2.7195,2.64086,2.64197,2.56333,2.64391,2.56527,2.56638,2.48774
Yield,0.908713079344394,0.907584264689222,0.908685902620257,0.908670353051291,0.909771990982325,0.904440450034049,0.905542087965084,0.905526538396119,0.906628176327153,0.90549936167198,0.906600999603015,0.906585450034049,0.907687087965084,0.905490536240946,0.906592174171981,0.906576624603015,0.90767826253405,0.906549447878877,0.907651085809912,0.907635536240946,0.908737174171981,0.905453273309912,0.906554911240946,0.90653936167198,0.907640999603015,0.906512184947842,0.907613822878877,0.907598273309912,0.908699911240946,0.906503359516808,0.907604997447843,0.907589447878877,0.908691085809912,0.907562271154739,0.908663909085774,0.908648359516808,0.909749997447843,0.905413909085774,0.906515547016808,0.906499997447843,0.907601635378877,0.906472820723705,0.907574458654739,0.907558909085774,0.908660547016808,0.90646399529267,0.907565633223705,0.907550083654739,0.908651721585774,0.907522906930601,0.908624544861636,0.908608995292671,0.909710633223705,0.906426732361636,0.90752837029267,0.907512820723705,0.90861445865474,0.907485643999567,0.908587281930601,0.908571732361636,0.90967337029267,0.907476818568532,0.908578456499567,0.908562906930601,0.909664544861636,0.908535730206463,0.909637368137498,0.909621818568532,0.910723456499567,0.904432465120256,0.905534103051291,0.905518553482326,0.906620191413359,0.905491376758187,0.906593014689222,0.906577465120256,0.907679103051291,0.905482551327153,0.906584189258187,0.906568639689221,0.907670277620256,0.906541462965084,0.907643100896118,0.907627551327153,0.908729189258188,0.905445288396118,0.906546926327153,0.906531376758187,0.907633014689222,0.906504200034049,0.907605837965084,0.907590288396119,0.908691926327153,0.906495374603015,0.90759701253405,0.907581462965084,0.908683100896118,0.907554286240946,0.908655924171981,0.908640374603015,0.90974201253405,0.90540592417198,0.906507562103015,0.906492012534049,0.907593650465084,0.906464835809911,0.907566473740946,0.907550924171981,0.908652562103015,0.906456010378877,0.907557648309912,0.907542098740946,0.908643736671981,0.907514922016808,0.908616559947843,0.908601010378877,0.909702648309912,0.906418747447842,0.907520385378877,0.907504835809911,0.908606473740946,0.907477659085774,0.908579297016808,0.908563747447843,0.909665385378877,0.907468833654739,0.908570471585774,0.908554922016808,0.909656559947842,0.90852774529267,0.909629383223705,0.909613833654739,0.910715471585774,0.905383930637498,0.906485568568532,0.906470018999567,0.907571656930601,0.906442842275429,0.907544480206463,0.907528930637498,0.908630568568532,0.906434016844394,0.907535654775429,0.907520105206463,0.908621743137498,0.907492928482325,0.90859456641336,0.908579016844395,0.909680654775429,0.90639675391336,0.907498391844394,0.907482842275429,0.908584480206463,0.907455665551291,0.908557303482325,0.90854175391336,0.909643391844394,0.907446840120256,0.908548478051291,0.908532928482325,0.90963456641336,0.908505751758187,0.909607389689222,0.909591840120256,0.910693478051291,0.906357389689222,0.907459027620256,0.907443478051291,0.908545115982326,0.907416301327153,0.908517939258187,0.908502389689222,0.909604027620256,0.907407475896118,0.908509113827153,0.908493564258188,0.909595202189222,0.908466387534049,0.909568025465084,0.909552475896118,0.910654113827153,0.907370212965084,0.908471850896118,0.908456301327153,0.909557939258187,0.908429124603015,0.90953076253405,0.909515212965084,0.910616850896119,0.90842029917198,0.909521937103015,0.90950638753405,0.910608025465084,0.909479210809912,0.910580848740946,0.910565299171981,0.911666937103015
MeanNestingRate,0.0437778054357007,0.0356951651929608,0.0412170755851223,0.0385973525964958,0.0530515258409077,0.0275946029427893,0.0299338471695606,0.0343359686398103,0.0452527453900816,0.0303970744730722,0.0354609379846513,0.0351008240784822,0.0473109097776019,0.034919572500044,0.0338779912278426,0.033691577144434,0.0431667373719382,0.0328684972182503,0.0380452169576374,0.0375012842982238,0.0515374346917616,0.0287287780346362,0.0314249878675358,0.0326410630669877,0.0423701032339161,0.0319061997523961,0.0367194363415153,0.0354202439804588,0.0477212211077312,0.0366391802781162,0.0356166507971487,0.0347812354372892,0.0442624082393853,0.0345469152047356,0.0400063646958692,0.0391069006968149,0.0549662156773763,0.0275253544257367,0.0305386448154694,0.0363547088781022,0.0469923776426227,0.0304824201445868,0.0356764569106362,0.0347883302455224,0.0468875151572435,0.0358195287653741,0.0353343831295531,0.0351886734654888,0.0441596712020664,0.0346059791965506,0.0393395028032064,0.0384056891909024,0.0537983793636286,0.0315094951997574,0.0338094335933178,0.0347306169580146,0.042531156805978,0.0358877697058529,0.0387942414770469,0.0386338167925847,0.0502329144888637,0.0431967543962197,0.0434136536463784,0.0401854423325137,0.0507865730474433,0.0426780799219005,0.0482645821255876,0.0461943982406036,0.0669568688608272,0.0272533851426683,0.0297858989460167,0.0312199771493456,0.0413208268880408,0.0305381683088835,0.0353021900692003,0.0357536506603014,0.0514098905561158,0.0341731108028728,0.0332419496223408,0.034292732693332,0.0446303964211123,0.0340241162464952,0.0394308272226058,0.0393979607157028,0.0606537311071281,0.0291681374519822,0.0320397397854022,0.0333309929517052,0.045041399258626,0.0325028652299345,0.0378944220853784,0.0373350222591245,0.0543670310198314,0.0378769460635532,0.0350638493638297,0.0355530979154315,0.0464132759843777,0.0365755723012899,0.0422551599575142,0.0415837167303797,0.0642835980821435,0.0275055924143962,0.0313667089222078,0.0377201288944497,0.0528795117809921,0.0314440550627615,0.0369548784712203,0.0373525720100615,0.0536106351213638,0.0370800620966153,0.0349089731905252,0.0355869996864402,0.045763130441842,0.0356975696133252,0.0410885115621835,0.0408340347303489,0.0616116956031657,0.0303844462731745,0.0326661523393492,0.0343283146773947,0.0434633930457206,0.03470558208125,0.0389458385070864,0.0387125093224213,0.0543920960860348,0.0416843165384847,0.0387433730759837,0.0390214815887441,0.0486213977761984,0.0415965918437401,0.0480233256306436,0.0456816933751808,0.0713036376361303,0.0283667028219366,0.0318897201818966,0.0361960132871697,0.046907131254414,0.0325331956880839,0.0380054853864847,0.0376243152947605,0.0550951973981809,0.0380615631589935,0.0357984570050987,0.0370307640064707,0.0463778257963838,0.0364349457741328,0.0418972981752329,0.0426583306061224,0.0667471042305869,0.03031274384701,0.0332772568792385,0.033914004590753,0.0437401331481531,0.034644555227226,0.0400947232177298,0.0392588904459707,0.0563027330679831,0.0427533120124769,0.0382344328848558,0.0390135548047644,0.0492175530133908,0.0406594498437491,0.0459187364866042,0.0465991050149831,0.0787236559002932,0.0288180405631684,0.0319721703061311,0.036724005468933,0.0470614206968347,0.032783962708931,0.0382384971099389,0.038914151004708,0.0554863794559377,0.048973156775806,0.0384920631590139,0.0392926601552273,0.0483054157238248,0.0400008893758665,0.0453358776824517,0.0454702223672427,0.0747894670712343,0.0360455460104092,0.0364813710114702,0.0383015317401423,0.045004294594025,0.0426347716858322,0.0444368727845762,0.04527288693801,0.0650470974359667,0.133120351769996,0.0516163171322521,0.0500674280076485,0.0605325588806681,0.0598978163330768,0.0642822752331748,0.0616288995007821,0.373620057176053
MaxNestingRate,0.191814978060725,0.171464179236055,0.215025543205918,0.19962176963968,0.277662794781849,0.136380503871095,0.133252021101035,0.169655905101277,0.198230175730948,0.180520365429466,0.186570720448407,0.171759495621663,0.256966564495458,0.175644110512982,0.17010497403285,0.162454659983293,0.198206343094713,0.137533717129072,0.233275145758581,0.178340717262501,0.245504627321946,0.147438416989263,0.158578982133755,0.157771141948187,0.204452921236659,0.148553525065111,0.190872920688056,0.168612449240732,0.246730844049648,0.159498560295648,0.179489147066586,0.156163399478814,0.195109584544369,0.150532248022677,0.208277201034962,0.173909726594684,0.287904381141322,0.14076345669227,0.156934426285933,0.16896430917568,0.213544732990637,0.138435224708747,0.189506893555309,0.1527263359753,0.228149954118564,0.152869948813112,0.208414962153757,0.165710295922246,0.210417059436993,0.142738296149508,0.185485843626263,0.173426886031809,0.304484187838292,0.162754632133818,0.170148307844823,0.154535104735153,0.203662128076083,0.167553512671259,0.173306310599262,0.205635921135336,0.24597524335032,0.199401190288679,0.227696900932659,0.179853230106172,0.227969729543823,0.177731956467252,0.271458563128843,0.211645805207844,0.300027462086362,0.144606821105513,0.156346069061929,0.150885402506844,0.188647034615127,0.159515701138816,0.170080510769548,0.195217892551635,0.267438362548356,0.165612958120376,0.187925306167897,0.14603981803946,0.196129142251756,0.16433610079109,0.180179362144841,0.184544899930845,0.289143781230608,0.158613861619229,0.168377100909125,0.143691700668929,0.225360459393479,0.16669830059625,0.217980556234717,0.165528085421463,0.243009414221011,0.153520734160488,0.166951025095634,0.153193872174513,0.228337185453941,0.181108416290353,0.206902018604015,0.217153325189863,0.323241897020805,0.144570669099206,0.150226404014841,0.15499188621236,0.212119741276352,0.163908413867824,0.190539667580238,0.162351955775367,0.248470152279947,0.168369184218642,0.183115226892739,0.155808472316728,0.221769659823967,0.170341903076977,0.20238130648053,0.174843051015423,0.257867798435918,0.156853211645671,0.169180477974768,0.188068907539778,0.204665893526948,0.165329998365518,0.176045667574914,0.172061549187259,0.35027213611135,0.177258553221872,0.191998569647078,0.169481657113518,0.26676671792012,0.180903780593734,0.213378857994688,0.254471185925883,0.350190447184279,0.138957679236527,0.157069332030797,0.196527432472251,0.202457669412609,0.17864075428548,0.174030288991337,0.165628982156114,0.24063390761574,0.1534472889042,0.167561843813874,0.17814643819216,0.210739086769873,0.149579136629957,0.195679647327553,0.199780758178074,0.330484950449101,0.142925400409687,0.158886354365004,0.184337929402165,0.203609648772396,0.155939142791882,0.255934363890688,0.195877614658037,0.266793153519252,0.199787236528089,0.173593519404255,0.155261751649812,0.222141820459402,0.172453282118503,0.227203154423081,0.188981497921089,0.367331225988133,0.146273943440474,0.173946311759183,0.190528718164145,0.220067468495119,0.181645289230163,0.187065603800841,0.179708831381253,0.267984998656806,0.201315368986573,0.175598361181676,0.183213684883069,0.224935000143669,0.171060977695217,0.244013211273101,0.216694282343546,0.285678583819803,0.172197871409903,0.188109663507938,0.161038377095701,0.19287459852263,0.201457518926388,0.193252780258716,0.222134365952976,0.374431985047386,0.476972967630928,0.210722776647787,0.212610433177541,0.293666282606301,0.251898801040229,0.264025615204918,0.286310688711765,0.790118738657807
TimesAbove60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066
