Row_1,BoardsBeforeCutBill,BoardsAfterCutBill,BoardsInCutBill,MandatoryCuts,CutsMadebyCutBill,CutsPerBoard,Yield,MeanNestingRate,MaxNestingRate,TimesAbove60,LaneFlushes
"[10.75,24]_[29,30]_[39,41.5]_[49,60]",223035,243371,93801,248774,74785,3.23559,0.90119059,0.024764346,0.126286521,0,0
"[10.75,24.2]_[28.8,30.2]_[38.8,41.7]_[48.8,60]",223035,239096,98076,248774,70510,3.19284,0.901789459,0.025778116,0.163894032,0,0
"[10.75,24.4]_[28.6,30.4]_[38.6,41.9]_[48.6,60]",223035,234929,102243,248774,66343,3.15117,0.902373198,0.026147933,0.125829165,0,0
"[10.75,24.6]_[28.4,30.6]_[38.4,42.1]_[48.4,60]",223035,230730,106442,248774,62144,3.10918,0.90296142,0.027204691,0.149978971,0,0
"[10.75,24.8]_[28.2,30.8]_[38.2,42.3]_[48.2,60]",223035,226463,110709,248774,57877,3.06651,0.903559168,0.028492827,0.126962726,0,0
"[10.75,25]_[28,31]_[38,42.5]_[48,60]",223035,222189,114983,248774,53603,3.02377,0.904157896,0.030438856,0.125777729,0,0
"[10.75,25.2]_[27.8,31.2]_[37.8,42.7]_[47.8,60]",223035,217853,119319,248774,49267,2.98041,0.90476531,0.031479997,0.130909976,0,0
"[10.75,25.4]_[27.6,31.4]_[37.6,42.9]_[47.6,60]",223035,213651,123521,248774,45065,2.93839,0.905353952,0.032516145,0.130142832,0,0
"[10.75,25.6]_[27.4,31.6]_[37.4,43.1]_[47.4,60]",223035,209411,127761,248774,40825,2.89599,0.905947918,0.033209304,0.123362432,0,0
"[10.75,25.8]_[27.2,31.8]_[37.2,43.3]_[47.2,60]",223035,205179,131993,248774,36593,2.85367,0.906540763,0.03481219,0.142570076,0,0
"[10.75,26]_[27,32]_[37,43.5]_[47,60]",223035,200971,136201,248774,32385,2.81159,0.907130245,0.036472503,0.153441547,0,0
"[10.75,24]_[27.82,30]_[39,44]_[47.82,60]",223035,227197,109975,248774,58611,3.07385,0.903456344,0.026957462,0.131834923,0,0
"[10.75,24.2]_[27.62,30.2]_[38.8,44.2]_[47.62,60]",223035,222976,114196,248774,54390,3.03164,0.904047648,0.027907301,0.136070865,0,0
"[10.75,24.4]_[27.42,30.4]_[38.6,44.4]_[47.42,60]",223035,218783,118389,248774,50197,2.98971,0.90463503,0.029130765,0.144521509,0,0
"[10.75,24.6]_[27.22,30.6]_[38.4,44.6]_[47.22,60]",223035,214585,122587,248774,45999,2.94773,0.905223112,0.030897768,0.147433726,0,0
"[10.75,24.8]_[27.02,30.8]_[38.2,44.8]_[47.02,60]",223035,210441,126731,248774,41855,2.90629,0.905803629,0.032740542,0.144232361,0,0
"[10.75,25]_[26.82,31]_[38,45]_[46.82,60]",223035,206243,130929,248774,37657,2.86431,0.906391711,0.034939388,0.161361865,0,0
"[10.75,25.2]_[26.62,31.2]_[37.8,45.2]_[46.62,60]",223035,201870,135302,248774,33284,2.82058,0.907004308,0.03834997,0.170807275,0,0
"[10.75,25.4]_[26.42,31.4]_[37.6,45.4]_[46.42,60]",223035,197628,139544,248774,29042,2.77816,0.907598553,0.043087381,0.193892584,0,0
"[10.75,25.6]_[26.22,31.6]_[37.4,45.6]_[46.22,60]",223035,193362,143810,248774,24776,2.7355,0.908196161,0.048481025,0.205020425,0,0
"[10.75,25.8]_[26.02,31.8]_[37.2,45.8]_[46.02,60]",223035,189091,148081,248774,20505,2.69279,0.908794469,0.057238275,0.231613685,0,0
"[10.75,26]_[25.82,32]_[37,46]_[45.82,60]",223035,186113,151059,248774,17527,2.66301,0.909211646,0.065268899,0.37829208,0,0
"[10.75,25.5]_[29,30]_[31,38]_[47,60]",223035,214971,122201,248774,46385,2.95159,0.905169038,0.033081816,0.156464477,0,0
"[10.75,25.7]_[28.8,30.2]_[30.8,38.2]_[46.8,60]",223035,210631,126541,248774,42045,2.90819,0.905777013,0.034957357,0.141692466,0,0
"[10.75,25.9]_[28.6,30.4]_[30.6,38.4]_[46.6,60]",223035,206365,130807,248774,37779,2.86553,0.90637462,0.037236677,0.154045263,0,0
"[10.75,26.1]_[28.4,30.6]_[30.4,38.6]_[46.4,60]",223035,202781,134391,248774,34195,2.82969,0.906876689,0.038913412,0.183745676,0,0
"[10.75,26.3]_[28.2,30.8]_[30.2,38.8]_[46.2,60]",223035,199939,137233,248774,31353,2.80127,0.907274814,0.041079991,0.207411501,0,0
"[10.75,26.5]_[28,31]_[30,39]_[46,60]",223035,196993,140179,248774,28407,2.77181,0.907687508,0.042383817,0.196341095,0,0
"[10.75,26.7]_[27.8,31.2]_[29.8,39.2]_[45.8,60]",223035,194201,142971,248774,25615,2.74389,0.908078629,0.044084817,0.215969548,0,0
"[10.75,26.9]_[27.6,31.4]_[29.6,39.4]_[45.6,60]",223035,191404,145768,248774,22818,2.71592,0.90847045,0.046059858,0.188152294,0,0
"[10.75,27.1]_[27.4,31.6]_[29.4,39.6]_[45.4,60]",223035,188500,148672,248774,19914,2.68688,0.90887726,0.047631265,0.215819755,0,0
"[10.75,27.3]_[27.2,31.8]_[29.2,39.8]_[45.2,60]",223035,186023,151149,248774,17437,2.66211,0.909224254,0.049963224,0.253790365,0,0
"[10.75,27.5]_[27,32]_[29,40]_[45,60]",223035,184758,152414,248774,16172,2.64946,0.909401463,0.051873502,0.219453651,0,0
"[10.75,25.5]_[27.82,30]_[31,38]_[39,44]_[47,60]",223035,194088,143084,248774,25502,2.74276,0.908094459,0.042393654,0.198707952,0,0
"[10.75,25.7]_[27.62,30.2]_[30.8,38.2]_[38.8,44.2]_[46.8,60]",223035,188412,148760,248774,19826,2.686,0.908889588,0.04743877,0.173552531,0,0
"[10.75,25.9]_[27.42,30.4]_[30.6,38.4]_[38.6,44.4]_[46.6,60]",223035,182837,154335,248774,14251,2.63025,0.909670569,0.055689022,0.203126602,0,0
"[10.75,26.1]_[27.22,30.6]_[30.4,38.6]_[38.4,44.6]_[46.4,60]",223035,178592,158580,248774,10006,2.5878,0.910265235,0.059939657,0.236145586,0,0
